Designator,Mid X,Mid Y,Layer,Rotation
C1,47.62,24.77,Top,0.0
C2,78.11,37.47,Top,90.0
C3,35.56,60.33,Top,180.0
C4,48.26,63.50,Top,0.0
C5, 5.08,67.95,Top,270.0
C6, 7.62,67.95,Top,270.0
C7,10.16,67.95,Top,270.0
C8,12.70,67.95,Top,270.0
C9,87.63,45.09,Top,270.0
C10,90.17,45.09,Top,270.0
C11,95.89,38.73,Top,0.0
C12,95.89,36.20,Top,0.0
C13, 5.08,48.90,Top,270.0
C14, 7.62,48.90,Top,270.0
C15,10.16,48.90,Top,270.0
C16,12.70,48.90,Top,270.0
IC1,95.25,24.13,Top,90.0
IC2,113.03,24.13,Top,90.0
JP1,53.34,82.55,Top,0.0
JP2,48.26,82.55,Top,0.0
LED1,10.16,17.78,Top,180.0
LED2,20.32,17.78,Top,180.0
LED3,30.48,17.78,Top,180.0
LED4,40.64,17.78,Top,180.0
LED5,53.98,36.20,Top,270.0
LED6,59.05,36.20,Top,90.0
LED9,11.43,43.82,Top,90.0
LED10,100.97,33.66,Top,270.0
LED11,19.05,63.50,Top,270.0
Q1, 8.89,29.21,Top,180.0
Q2,19.05,29.21,Top,180.0
Q3,29.21,29.21,Top,180.0
Q4,39.37,29.21,Top,180.0
R1,10.16,38.10,Top,270.0
R2,20.32,38.10,Top,270.0
R3,30.48,38.10,Top,270.0
R4,40.64,38.10,Top,270.0
R5, 7.62,17.78,Top,270.0
R6,17.78,17.78,Top,270.0
R7,27.94,17.78,Top,270.0
R8,38.10,17.78,Top,270.0
R9,47.62,27.30,Top,180.0
R10,53.98,33.66,Top,180.0
R11,52.71,16.51,Top,270.0
R12,59.05,33.66,Top,0.0
R13,60.33,16.51,Top,270.0
R14,73.66,30.48,Top,90.0
R15,71.12,30.48,Top,90.0
R19,50.16,34.93,Top,270.0
R20,62.87,34.93,Top,270.0
R23,58.42,74.93,Top,0.0
R24,58.42,78.11,Top,0.0
R25,58.42,53.34,Top,0.0
R26,93.34,16.51,Top,0.0
R27,92.08,19.05,Top,0.0
R28,58.42,55.88,Top,0.0
R29,97.79,16.51,Top,180.0
R30,99.06,19.05,Top,180.0
R31,58.42,58.42,Top,0.0
R32,111.12,16.51,Top,0.0
R33,109.86,19.05,Top,0.0
R34,58.42,60.96,Top,0.0
R35,115.57,16.51,Top,180.0
R36,116.84,19.05,Top,180.0
R37,15.24,48.90,Top,90.0
R38,95.89,33.66,Top,180.0
R39,15.24,67.95,Top,90.0
U1,48.26,59.69,Top,0.0
U2,10.16,77.47,Top,0.0
U3,99.06,44.45,Top,270.0
U4,10.16,58.42,Top,0.0
U5,29.21,52.71,Top,0.0
U6,72.39,24.13,Top,90.0
U7,72.39,40.64,Top,0.0
