Designator,Mid X,Mid Y,Layer,Rotation
C1, 7.62,67.31,Top,90.0
C2,27.94,46.99,Top,90.0
C3,12.70,67.31,Top,90.0
C4, 7.62,60.96,Top,90.0
FB1,10.16,69.85,Top,270.0
GND, 7.62,73.66,Top,180.0
GND1,12.70,73.66,Top,0.0
GND2,21.59,73.66,Top,0.0
JP1,16.51, 7.62,Top,0.0
JP2,30.48, 7.62,Top,0.0
JP3,25.40,34.29,Top,90.0
LCL,25.40,73.66,Top,0.0
LDA,27.94,73.66,Top,0.0
LED1,20.32,67.31,Top,0.0
LED2, 7.62,52.07,Top,270.0
R1,27.94,31.75,Top,270.0
R2,17.78,67.31,Top,90.0
R3, 7.62,54.61,Top,0.0
R4,15.24,67.31,Top,270.0
S0A,36.20,17.78,Top,90.0
S0GND,36.20,12.70,Top,90.0
S0VCC,36.20,15.24,Top,90.0
S1A,36.20,33.02,Top,90.0
S1GND,36.20,27.94,Top,90.0
S1VCC,36.20,30.48,Top,90.0
S2A,36.20,48.26,Top,90.0
S2GND,36.20,43.18,Top,90.0
S2VCC,36.20,45.72,Top,90.0
S3A,36.20,63.50,Top,90.0
S3GND,36.20,58.42,Top,90.0
S3VCC,36.20,60.96,Top,90.0
S4GND, 8.89, 2.54,Top,180.0
S4SCL,11.43, 2.54,Top,180.0
S4SDA,13.97, 2.54,Top,180.0
S4VCC,16.51, 2.54,Top,180.0
S5GND,22.86, 2.54,Top,0.0
S5SCL,25.40, 2.54,Top,0.0
S5SDA,27.94, 2.54,Top,0.0
S5VCC,30.48, 2.54,Top,0.0
U1,15.24,60.96,Top,270.0
U2,21.59,52.07,Top,270.0
U3,29.21,38.10,Top,90.0
VIN,10.16,73.66,Top,180.0
